date,open,high,low,close,adj_close,volume
2001-07-13,24.100000381469727,24.530000686645508,23.52666664123535,24.21666717529297,19.88509178161621,603300
2001-07-16,23.78333282470703,23.850000381469727,22.81333351135254,22.81333351135254,18.732776641845703,180000
2001-07-17,22.649999618530273,23.75,22.633333206176758,23.75,19.50189971923828,287100
2001-07-18,23.03333282470703,23.203332901000977,22.766666412353516,22.766666412353516,18.6944580078125,301800
2001-07-19,24.133333206176758,24.233333587646484,23.733333587646484,23.733333587646484,19.48822021484375,405000
2001-07-20,23.25,23.633333206176758,23.25,23.616666793823242,19.392417907714844,360000
2001-07-23,23.75,23.75,22.899999618530273,22.899999618530273,18.80393409729004,195300
2001-07-24,22.766666412353516,22.766666412353516,22.266666412353516,22.28333282470703,18.297569274902344,150300
2001-07-25,22.200000762939453,22.616666793823242,21.883333206176758,21.883333206176758,17.96912384033203,179100
2001-07-26,22.850000381469727,24.149999618530273,22.766666412353516,23.916667938232422,19.638765335083008,281700
2001-07-27,24.166667938232422,24.733333587646484,24.166667938232422,24.469999313354492,20.093114852905273,121500
2001-07-30,24.59666633605957,24.84666633605957,24.43000030517578,24.633333206176758,20.227222442626953,7800
2001-07-31,25.133333206176758,25.133333206176758,24.633333206176758,24.633333206176758,20.227222442626953,152100
2001-08-01,25.583332061767578,26.233333587646484,25.583332061767578,25.916667938232422,21.281024932861328,28500
2001-08-02,26.566667556762695,26.649999618530273,26.383333206176758,26.416667938232422,21.691591262817383,64800
2001-08-03,26.416667938232422,26.416667938232422,25.916667938232422,26.083332061767578,21.41788673400879,9600
2001-08-06,25.516666412353516,25.71666717529297,25.46666717529297,25.616666793823242,21.034683227539062,21900
2001-08-07,25.200000762939453,25.219999313354492,25.0,25.219999313354492,20.708961486816406,18600
2001-08-08,25.113332748413086,25.516666412353516,24.933332443237305,24.933332443237305,20.473575592041016,18900
2001-08-09,24.0,24.25,24.0,24.25,19.912471771240234,3000
2001-08-10,24.200000762939453,24.333332061767578,24.200000762939453,24.299999237060547,19.953523635864258,12600
2001-08-13,24.833332061767578,24.933332443237305,24.700000762939453,24.883333206176758,20.432531356811523,24300
2001-08-14,25.066667556762695,25.066667556762695,24.983333587646484,24.983333587646484,20.514631271362305,4200
2001-08-15,24.583332061767578,24.583332061767578,24.00666618347168,24.00666618347168,19.712663650512695,6300
2001-08-16,23.333332061767578,23.700000762939453,23.100000381469727,23.700000762939453,19.460844039916992,13500
2001-08-17,23.333332061767578,23.333332061767578,22.866666793823242,22.866666793823242,18.776575088500977,1500
2001-08-20,23.0,23.149999618530273,22.850000381469727,23.116666793823242,18.981849670410156,32700
2001-08-21,23.100000381469727,23.100000381469727,22.53333282470703,22.53333282470703,18.502853393554688,4200
2001-08-22,22.729999542236328,23.233333587646484,22.5,23.233333587646484,19.077655792236328,8400
2001-08-23,23.3700008392334,23.663333892822266,23.309999465942383,23.350000381469727,19.173450469970703,3000
2001-08-24,23.75666618347168,24.483333587646484,23.666667938232422,24.356666564941406,20.000051498413086,1200
2001-08-27,24.5,25.1299991607666,24.5,24.899999618530273,20.446205139160156,12300
2001-08-28,24.450000762939453,24.549999237060547,24.316667556762695,24.316667556762695,19.96721076965332,3000
2001-08-29,24.433332443237305,24.433332443237305,23.46666717529297,23.46666717529297,19.26924705505371,900
2001-08-30,22.549999237060547,22.833332061767578,22.5,22.833332061767578,18.749187469482422,3600
2001-08-31,22.666667938232422,23.15999984741211,22.666667938232422,22.946666717529297,18.84226417541504,6000
2001-09-04,22.866666793823242,23.156667709350586,22.333332061767578,22.333332061767578,18.33863067626953,3300
2001-09-05,22.246667861938477,22.246667861938477,21.53333282470703,21.566667556762695,17.709095001220703,22500
2001-09-06,21.333332061767578,21.666667938232422,20.46666717529297,20.566667556762695,16.887968063354492,792000
2001-09-07,20.383333206176758,21.226667404174805,20.383333206176758,20.71666717529297,17.011133193969727,9900
2001-09-10,20.613332748413086,20.913333892822266,20.613332748413086,20.696666717529297,16.99471664428711,3900
2001-09-17,19.0,19.593332290649414,18.799999237060547,18.799999237060547,15.437297821044922,24600
2001-09-18,18.75,18.906667709350586,18.503332138061523,18.906667709350586,15.524874687194824,1200
2001-09-19,17.123332977294922,17.316667556762695,15.899999618530273,17.316667556762695,14.219282150268555,40200
2001-09-20,16.549999237060547,17.066667556762695,16.200000762939453,16.200000762939453,13.30235481262207,51000
2001-09-21,15.133333206176758,16.100000381469727,15.133333206176758,15.416666984558105,12.65912914276123,11400
2001-09-24,16.333332061767578,16.950000762939453,16.333332061767578,16.950000762939453,13.918201446533203,28500
2001-09-25,17.233333587646484,17.233333587646484,16.5,16.5,13.54869270324707,12900
2001-09-26,16.899999618530273,16.899999618530273,16.0,16.03333282470703,13.165494918823242,9600
2001-09-27,15.333333015441895,15.550000190734863,14.963333129882812,15.550000190734863,12.768620491027832,3600
2001-09-28,15.916666984558105,16.166667938232422,15.633333206176758,15.983332633972168,13.124439239501953,14400
2001-10-01,15.733332633972168,15.733332633972168,15.449999809265137,15.449999809265137,12.686503410339355,5100
2001-10-02,15.75,15.75,15.166666984558105,15.166666984558105,12.453845977783203,12900
2001-10-03,15.0,16.78333282470703,14.966667175292969,16.616666793823242,13.644491195678711,12900
2001-10-04,17.0,17.979999542236328,16.633333206176758,17.583332061767578,14.438251495361328,22800
2001-10-05,17.333332061767578,17.799999237060547,16.633333206176758,17.690000534057617,14.525835037231445,23700
2001-10-08,17.333332061767578,18.566667556762695,17.299999237060547,18.399999618530273,15.108848571777344,49200
2001-10-09,17.96666717529297,17.96666717529297,17.516666412353516,17.566667556762695,14.42456340789795,22200
2001-10-10,17.53333282470703,18.566667556762695,17.416667938232422,18.566667556762695,15.245697021484375,28200
2001-10-11,19.26333236694336,20.27666664123535,19.26333236694336,20.213333129882812,16.597835540771484,62100
2001-10-12,19.733333587646484,20.016666412353516,19.266666412353516,19.866666793823242,16.313175201416016,26400
2001-10-15,19.71666717529297,19.71666717529297,19.31999969482422,19.450000762939453,15.97103214263916,7800
2001-10-16,19.766666412353516,20.049999237060547,19.5,20.049999237060547,16.463701248168945,6600
2001-10-17,20.549999237060547,20.600000381469727,19.233333587646484,19.233333587646484,15.79312515258789,15000
